ID,Year of Birth,Age,Gender,Employment Duration,Industry,Occupation,Size of Employer Company,Size of Household,Residency Area,Time Spent Working Remotely Last Quarter of Last Year,Preferred Time Spent Working Remotely Last Quarter of Last Year,Time Spent Working Remotely in 2021,Preferred Time Spent Working Remotely in 2021,Preferred Time Spent Working Remotely in Future,Employer's Policy change on Remote Work,1 day Hybrid last 6 months,Duration of Hybrid,Preferences towards Hybrid,Employer's Policy on Hybrid,Employer's Time Preference on Onsite,Attitude on Employer's Preferences,Liberty to make the Choice on Decision,Liberty to make the Choice on Days,Direct Manager's role,Attitude on Employer's Decision on Remote Work,Attitude on Employer's Encouragement,Attitude on Employer's Preparedness,Attitude of Other Employees ,Ease to get Permission on Remote Work,Ease to Collaborate with Colleagues,Effect of Promotion,Attitude on Taking Breaks,Impact on Employer,Most Supportive Person(s) on Remote Work,Expected Employer's Encouragement Post Covid,Expected Employer's Support Post Covid,Attitude on Choice on Remote Post Covid,Intended Time to Commute Onsite,Intended Time for Work Onsite,Intended Time for Chores Onsite,Intended Time for Personal Life Onsite,Intended Time for Sleep Onsite,Intended Time to Commute Remote,Intended Time for Work Remote,Intended Time for Chores Remote,Intended Time for Personal Life Remote,Intended Time for Sleep Remote,Attitude on pay cut,Agreed percentage on Pay cut,Barrier of Caring Responsibilities,Barrier of Connectivity,Barrier from Organizations Software System,Barrier on Collaboration,Barrier of poor management,Barrier of IT Equipment,Barrier of Feeling Isolated,Barrier of Extra Cost,Barrier of Cyber Security,Barrier of task cannot be done remotely,Barrier about working Space,Barrier on Motivation,Barrier on Management encouragement on Remote,Barrier of my living situation,Barrier of Remote Working Skills,Barrier of Health and Safety,Positivity on Remote Work,Activeness on Remote Work,Attitute towards Team Members,Management role of Participant,Remote Employees under Manager ,Manager's discretion towards Remote ,Opinion on Remote Employee Retention,Opinion on Remote Employee Recruitment,Opinion on Remote Team Work,Opinion on monitoring Remote Team,Opinion on Remote Poor Performers,Opinion on Preparation for Remote Employee Management,Opinion on Preparation for Focus on Work,Opinion on Finding Employees,Manager's Productivity on Remote,Employee's Productivity on Remote
1330,1984,37,Female,More than 5 years,Other Services,"Managers - Chief Executives, General Managers and Legislators",Between 20 and 199,Single person,Regional,100% - I spent all of my time remote working,100% - All of my time,80%,90%,90%,Yes,Yes,80%,90%,No,,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat Positive,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat Positive,They are about the same,Somewhat likely,Somewhat likely,Somewhat likely,2,9,1,4,8,0,8,1,7,8,No,,Stayed about the same,Stayed about the same,Stayed about the same,Significantly improved,Stayed about the same,Stayed about the same,Somewhat worsened,Somewhat worsened,Stayed about the same,Stayed about the same,Somewhat improved,Somewhat improved,Somewhat improved,Stayed about the same,Somewhat improved,Stayed about the same,Strongly agree,Strongly agree,Somewhat disagree,Yes,Yes,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% more productive when working remotely,I’m 20% more productive when working remotely
1332,1972,49,Male,More than 5 years,Public Administration and Safety,Managers - Specialist Managers,More than 200,Couple with dependent children,Regional,50% - I spent about half of my time remote working,I would not have preferred to work remotely,50% - I spent about half of my time remote working,I would not have preferred to work remotely,I would prefer not to work remotely,No,Yes,30%,30%,Yes,50% - About half of my time,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat Positive,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat Negative,Senior leadership,Somewhat likely,Somewhat likely,Neither unlikely or likely,1,9,1,4,9,1,8,4,2,9,No,,Stayed about the same,Stayed about the same,Somewhat improved,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat improved,Somewhat worsened,Somewhat improved,Stayed about the same,Stayed about the same,Somewhat improved,Somewhat improved,Somewhat improved,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Yes,Yes,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,I’m 30% less productive when working remotely,I’m 30% less productive when working remotely
1334,1976,45,Male,More than 5 years,"Professional, Scientific and Technical","Professionals - Design, Engineering, Science and Transport Professionals",More than 200,Single person,Regional,80%,100% - All of my time,50% - I spent about half of my time remote working,100% - All of my time,80%,Yes,Yes,50% - About half of my time,Less than 10% of my time,Yes,60%,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat Negative,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Somewhat Negative,My direct manger(s),Very unlikely,Very unlikely,Very unlikely,2,9,4,2,7,0,9,4,4,7,No,,Significantly worsened,Stayed about the same,Stayed about the same,Stayed about the same,Significantly worsened,Somewhat worsened,Stayed about the same,Significantly worsened,Stayed about the same,Stayed about the same,Somewhat worsened,Significantly worsened,Significantly worsened,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat agree,Neither agree nor disagree,Strongly disagree,Yes,Yes,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,I’m 20% more productive when working remotely,I’m 20% more productive when working remotely
1336,1968,53,Female,Between 1 and 5 years,Health Care and Social Assistance,Community and personal service workers - Carers and Aides,Between 5 and 19,One parent family with dependent children,Regional,30%,50% - About half of my time,20%,50% - About half of my time,20%,Yes,Yes,20%,50% - About half of my time,Yes,50% - About half of my time,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly Positive,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly disagree,Neither agree nor disagree,Strongly Positive,My direct manger(s),Very likely,Very likely,Very likely,3,8,3,2,8,3,8,2,3,8,No,,Somewhat worsened,Significantly worsened,Stayed about the same,Somewhat worsened,Stayed about the same,Somewhat worsened,Significantly worsened,Significantly worsened,Not a barrier for me,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat worsened,Not a barrier for me,Stayed about the same,Stayed about the same,Strongly agree,Strongly agree,Somewhat agree,Yes,Yes,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,I’m 50% more productive when working remotely (or more),I’m 50% more productive when working remotely (or more)
1337,1975,46,Female,More than 5 years,Retail Trade,Clerical and administrative workers - Clerical and Office Support Workers,Between 5 and 19,Single person,Regional,50% - I spent about half of my time remote working,50% - About half of my time,50% - I spent about half of my time remote working,50% - About half of my time,50% - About half of my time,No,Yes,50% - About half of my time,50% - About half of my time,No,,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly Positive,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Somewhat disagree,Strongly Positive,They are about the same,Very likely,Very likely,Neither unlikely or likely,0.5,10,2.5,3,8,1,10,2,3,8,No,,Not a barrier for me,Significantly worsened,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Somewhat improved,Not a barrier for me,Stayed about the same,Stayed about the same,Significantly improved,Not a barrier for me,Stayed about the same,Not a barrier for me,Significantly improved,Somewhat agree,Strongly agree,Somewhat agree,Yes,No,,,,,,,,,,My productivity is about same when I work remotely,My productivity is about same when I work remotely
1342,1977,44,Male,Between 1 and 5 years,Administrative and Support,"Professionals - Business, Human Resource and Marketing Professionals",More than 200,Couple with dependent children,Metro,100% - I spent all of my time remote working,100% - All of my time,90%,100% - All of my time,90%,Yes,Yes,Less than 10% of my time,Less than 10% of my time,No,,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly Positive,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat disagree,Strongly Positive,My direct manger(s),Very likely,Very likely,Very likely,2.5,9,4.5,1,7,0,9.5,4.5,1,9,No,,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat improved,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat improved,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat improved,Strongly agree,Strongly agree,Neither agree nor disagree,Yes,Yes,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,I’m 40% more productive when working remotely,I’m 40% more productive when working remotely
1344,1977,44,Male,More than 5 years,Information Media and Telecommunications,"Managers - Chief Executives, General Managers and Legislators",Between 20 and 199,One parent family with dependent children,Metro,90%,90%,90%,90%,90%,Yes,Yes,70%,50% - About half of my time,Yes,50% - About half of my time,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither positive nor negative,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither positive nor negative,My direct manger(s),Neither unlikely or likely,Neither unlikely or likely,Neither unlikely or likely,3,7,5,3,6,1,7,3,4,9,No,,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Yes,Yes,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 50% more productive when working remotely (or more),I’m 50% more productive when working remotely (or more)
1345,1980,41,Male,More than 5 years,Information Media and Telecommunications,"Managers - Chief Executives, General Managers and Legislators",Between 5 and 19,Couple with dependent children,Metro,90%,90%,90%,90%,60%,Yes,Yes,90%,50% - About half of my time,No,,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly Positive,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Neither positive nor negative,They are about the same,Somewhat likely,Very likely,Neither unlikely or likely,1,9,2,5,7,0,10,3,4,7,No,,Somewhat improved,Stayed about the same,Stayed about the same,Somewhat worsened,Stayed about the same,Stayed about the same,Somewhat worsened,Somewhat improved,Stayed about the same,Not a barrier for me,Somewhat improved,Somewhat worsened,Stayed about the same,Somewhat improved,Stayed about the same,Stayed about the same,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Yes,Yes,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,I’m 30% more productive when working remotely,I’m 30% more productive when working remotely
1347,1977,44,Female,More than 5 years,Health Care and Social Assistance,Professionals - Health Professionals,More than 200,Couple with dependent children,Metro,Less than 10% of my time,Less than 10% of my time,10%,20%,Less than 10% of my time,No,No,,,No,,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat Positive,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat Positive,Senior leadership,Very likely,Somewhat likely,Neither unlikely or likely,1,8,4,3,8,1,8,4,3,8,No,,Stayed about the same,Somewhat improved,Somewhat improved,Stayed about the same,Significantly improved,Somewhat improved,Somewhat improved,Somewhat improved,Significantly improved,Significantly improved,Stayed about the same,Somewhat improved,Somewhat improved,Somewhat improved,Stayed about the same,Somewhat improved,Neither agree nor disagree,Strongly agree,Somewhat agree,Yes,No,,,,,,,,,,I’m 30% more productive when working remotely,I’m 30% more productive when working remotely
1348,1981,40,Male,Between 1 and 5 years,Construction,"Managers - Chief Executives, General Managers and Legislators",More than 200,Couple with dependent children,Regional,50% - I spent about half of my time remote working,50% - About half of my time,50% - I spent about half of my time remote working,50% - About half of my time,50% - About half of my time,Yes,Yes,50% - About half of my time,50% - About half of my time,No,,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly Positive,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat Positive,They are about the same,Somewhat unlikely,Neither unlikely or likely,Neither unlikely or likely,4,8,2,3,7,1,9,2,4,8,No,,Significantly improved,Somewhat improved,Stayed about the same,Somewhat worsened,Stayed about the same,Stayed about the same,Somewhat worsened,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat worsened,Somewhat improved,Stayed about the same,Stayed about the same,Somewhat worsened,Stayed about the same,Somewhat agree,Somewhat agree,Somewhat agree,Yes,Yes,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,I’m 20% more productive when working remotely,I’m 20% more productive when working remotely
1349,1983,38,Female,Between 1 and 5 years,Education and Training,"Managers - Chief Executives, General Managers and Legislators",Between 20 and 199,Couple with dependent children,Metro,20%,20%,20%,20%,20%,Yes,Yes,20%,20%,Yes,20%,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat Positive,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat Positive,Senior leadership,Very likely,Somewhat likely,Somewhat likely,4,8,2,2,8,4,8,2,2,8,No,,Somewhat improved,Significantly improved,Significantly improved,Somewhat improved,Somewhat improved,Significantly improved,Significantly improved,Somewhat improved,Somewhat improved,Significantly improved,Significantly improved,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat agree,Somewhat agree,Strongly agree,Yes,Yes,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,I’m 50% more productive when working remotely (or more),I’m 50% more productive when working remotely (or more)
1350,1981,40,Male,More than 5 years,Financial and Insurance,Managers - Farmers and Farm Managers,Between 5 and 19,One parent family with dependent children,Metro,Less than 10% of my time,50% - About half of my time,60%,60%,Less than 10% of my time,Yes,Yes,50% - About half of my time,40%,Yes,100% - All of my time,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither positive nor negative,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat Negative,They are about the same,Neither unlikely or likely,Neither unlikely or likely,Somewhat likely,6,6,2,5,5,5,8,9,1,1,No,,Somewhat improved,Significantly improved,Somewhat improved,Stayed about the same,Somewhat worsened,Somewhat improved,Stayed about the same,Somewhat improved,Somewhat improved,Somewhat worsened,Stayed about the same,Somewhat worsened,Somewhat worsened,Somewhat improved,Stayed about the same,Stayed about the same,Somewhat agree,Neither agree nor disagree,Strongly agree,Yes,Yes,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,I’m 10% more productive when working remotely,I’m 10% more productive when working remotely
